Transaction ID,Customer ID,Date,Product,Quantity,Price,Total
TXN1,CUST48,06-09-2023,Beta Tool,1,76.86,76.31
TXN2,CUST39,18-08-2023,Bta Tool,2,13.17,25.81
TXN3,CUST1,06-10-2023,Dleta Appliance,14,30.23,"423,22"
TXN4,CUST7,13-05-2023,Epsilon Gear,5,29.77,"148,85"
TXN5,CUST35,07-02-2023,Alppha Widjet,12,64.53,"774,82"
TXN6,CUST37,31-01-2023,Dleta Appliance,10,84.72,847.20
TXN7,CUST25,18-01-2023,Delta Appliance,10,"98,67","987,43"
TXN8,CUST45,04-09-2023,Alppha Widjet,6,43.63,262.12
TXN9,CUST41,27-07-2023,Delta Appliance,6,51.87,"311,22"
TXN10,CUST26,24-11-2023,Alpha Widget,8,"84,04",672.32
TXN11,CUST26,23-03-2023,Epsilno Gear,11,"29,53",324.83
TXN12,CUST48,13-04-2023,Gamma Device,8,"77,17","617,36"
TXN13,CUST8,21-05-2023,Delta Appliance,5,56.10,281.01
TXN14,CUST39,04-11-2023,Bta Tool,20,"16,19","323,80"
TXN15,CUST50,03-08-2023,Alpha Widget,4,"71,51",286.04
TXN16,CUST33,24-04-2023,Bta Tool,6,51.10,306.60
TXN17,CUST11,05-12-2023,Epsilon Gear,17,65.00,"1104,75"
TXN18,CUST16,09-07-2023,Alpha Widget,4,93.65,374.60
TXN19,CUST5,07-12-2023,Epsilno Gear,3,18.17,54.51
TXN20,CUST14,14-09-2023,Gamam Device,18,25.28,"455,04"
TXN21,CUST8,04-06-2023,Alppha Widjet,15,91.01,1365.15
TXN22,CUST1,25-01-2023,Alppha Widjet,1,63.15,63.33
TXN23,CUST18,30-03-2023,Beta Tool,2,"87,43",174.89
TXN24,CUST27,29-07-2023,Gamma Device,19,62.07,1179.90
TXN25,CUST47,07-02-2023,Bta Tool,12,48.41,580.92
TXN26,CUST13,24-01-2023,Bta Tool,11,"82,15",903.15
TXN27,CUST36,13-06-2023,Gamma Device,9,51.90,466.99
TXN28,CUST32,11-09-2023,Dleta Appliance,1,"97,22",96.55
TXN29,CUST17,02-12-2023,Bta Tool,2,"25,23","51,43"
TXN30,CUST14,14-06-2023,Dleta Appliance,16,24.35,389.60
TXN31,CUST33,18-10-2023,Alppha Widjet,2,14.99,29.98
TXN32,CUST16,17-07-2023,Beta Tool,6,"16,63",100.13
TXN33,CUST27,12-12-2023,Epsilno Gear,8,"62,31","498,72"
TXN34,CUST20,21-03-2023,Alppha Widjet,8,"34,27","274,50"
TXN35,CUST14,27-12-2023,Beta Tool,1,"51,51",50.66
TXN36,CUST19,29-12-2023,Alppha Widjet,3,89.19,"267,57"
TXN37,CUST36,20-11-2023,Dleta Appliance,10,"65,24",652.74
TXN38,CUST10,08-12-2023,Gamma Device,9,"20,83","187,95"
TXN39,CUST33,23-08-2023,Delta Appliance,11,"28,72","315,92"
TXN40,CUST3,18-12-2023,Alpha Widget,3,67.26,"201,78"
TXN41,CUST36,27-10-2023,Gamma Device,9,"24,96",224.64
TXN42,CUST38,13-02-2023,Beta Tool,5,59.32,"296,60"
TXN43,CUST14,19-02-2023,Alpha Widget,10,43.13,432.10
TXN44,CUST16,18-05-2023,Dleta Appliance,14,97.65,1367.95
TXN45,CUST27,09-12-2023,Bta Tool,1,26.55,"26,55"
TXN46,CUST15,03-03-2023,Beta Tool,13,88.55,"1151,15"
TXN47,CUST18,16-05-2023,Epsilon Gear,8,30.45,"243,40"
TXN48,CUST2,17-05-2023,Dleta Appliance,13,71.31,"927,03"
TXN49,CUST23,11-03-2023,Epsilno Gear,9,"13,92","125,28"
TXN50,CUST46,24-08-2023,Dleta Appliance,4,"44,97",179.39
TXN51,CUST22,21-07-2023,Dleta Appliance,7,"43,09",302.53
TXN52,CUST21,07-10-2023,Epsilon Gear,17,"38,18","649,06"
TXN53,CUST44,04-08-2023,Gamma Device,7,48.13,"336,91"
TXN54,CUST38,07-06-2023,Dleta Appliance,1,"37,69","37,55"
TXN55,CUST19,21-06-2023,Gamam Device,7,"56,24",394.00
TXN56,CUST3,14-11-2023,Delta Appliance,10,30.60,"305,29"
TXN57,CUST25,26-08-2023,Beta Tool,15,"47,59","714,29"
TXN58,CUST15,05-04-2023,Gamma Device,1,90.38,"90,94"
TXN59,CUST30,20-01-2023,Dleta Appliance,8,"92,60","740,71"
TXN60,CUST11,26-08-2023,Dleta Appliance,14,"84,83","1187,62"
TXN61,CUST41,11-04-2023,Delta Appliance,9,79.03,"711,27"
TXN62,CUST21,20-06-2023,Beta Tool,10,31.48,314.80
TXN63,CUST27,28-02-2023,Delta Appliance,13,"72,60","942,93"
TXN64,CUST50,11-06-2023,Alpha Widget,7,85.04,"595,28"
TXN65,CUST27,05-07-2023,Alpha Widget,12,37.22,"446,64"
TXN66,CUST22,27-03-2023,Epsilon Gear,14,"53,96",755.44
TXN67,CUST38,23-11-2023,Gamam Device,5,98.26,492.11
TXN68,CUST25,07-09-2023,Bta Tool,5,"88,07",439.45
TXN69,CUST18,26-06-2023,Alppha Widjet,11,"78,62","864,82"
TXN70,CUST23,21-11-2023,Beta Tool,16,12.23,196.68
TXN71,CUST40,31-10-2023,Alpha Widget,1,95.48,96.16
TXN72,CUST17,19-02-2023,Gamam Device,4,"60,97",243.81
TXN73,CUST7,24-08-2023,Epsilno Gear,4,80.10,"321,33"
TXN74,CUST45,12-08-2023,Bta Tool,13,94.75,1230.90
TXN75,CUST28,28-09-2023,Epsilon Gear,20,"82,59",1651.49
TXN76,CUST7,16-07-2023,Alppha Widjet,1,"86,53","86,53"
TXN77,CUST40,04-09-2023,Gamam Device,5,"49,47","247,35"
TXN78,CUST6,19-06-2023,Epsilno Gear,9,"39,34","354,72"
TXN79,CUST22,05-04-2023,Gamam Device,19,65.12,"1237,28"
TXN80,CUST17,27-11-2023,Alppha Widjet,6,"54,13","324,78"
TXN81,CUST47,08-12-2023,Epsilno Gear,9,"60,24","541,33"
TXN82,CUST29,04-08-2023,Delta Appliance,16,68.30,1092.80
TXN83,CUST43,25-04-2023,Delta Appliance,13,"72,41","941,33"
TXN84,CUST23,03-08-2023,Dleta Appliance,12,"48,58","582,96"
TXN85,CUST48,30-04-2023,Epsilon Gear,8,21.30,170.03
TXN86,CUST7,26-03-2023,Gamam Device,9,75.34,"678,06"
TXN87,CUST4,30-03-2023,Alppha Widjet,6,"37,55",224.85
TXN88,CUST31,05-09-2023,Gamam Device,4,"88,60","354,40"
TXN89,CUST8,13-05-2023,Gamma Device,2,33.09,"66,18"
TXN90,CUST37,10-07-2023,Beta Tool,19,"66,83",1269.07
TXN91,CUST25,07-04-2023,Beta Tool,18,"78,91","1420,93"
TXN92,CUST48,26-04-2023,Epsilno Gear,14,37.83,529.84
TXN93,CUST36,31-08-2023,Delta Appliance,9,69.60,625.88
TXN94,CUST19,02-01-2023,Bta Tool,15,72.19,1082.85
TXN95,CUST41,22-04-2023,Epsilon Gear,15,16.87,"253,90"
TXN96,CUST10,14-02-2023,Dleta Appliance,8,68.46,547.68
TXN97,CUST29,06-03-2023,Epsilon Gear,20,77.52,"1550,40"
TXN98,CUST29,25-09-2023,Epsilon Gear,13,94.86,1233.18
TXN99,CUST44,12-12-2023,Bta Tool,11,64.53,"709,01"
TXN100,CUST18,12-08-2023,Alpha Widget,6,52.61,"315,66"
